canonical_project_id,project_id,observation_month,physical_progress_pct,cumulative_expenditure_cr,expenditure_ratio_pct,progress_change_1m,progress_change_3m,progress_velocity_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_escalation_pct,expenditure_progress_gap
400013,400013,2026-01-01,82.0,9791.8,63.612692654506894,,,,,,,-41.50767593859249,-18.387307345493102
400013,400013,2026-02-01,83.0,9791.8,63.612692654506894,1.0,,,0.0,,,-41.50767593859249,-19.387307345493102
400013,400013,2026-03-01,83.7,9791.8,63.612692654506894,0.7000000000000028,,,0.0,,,-41.50767593859249,-20.08730734549311
400013,400013,2026-04-01,84.0,9791.8,63.612692654506894,0.2999999999999971,2.0,0.6666666666666666,0.0,0.0,0.0,-41.50767593859249,-20.387307345493102
400013,400013,2026-05-01,85.0,9791.8,63.612692654506894,1.0,2.0,0.6666666666666666,0.0,0.0,0.0,-41.50767593859249,-21.387307345493102
400013,400013,2026-06-01,85.0,8553.1,55.5654447132563,0.0,1.2999999999999972,0.4333333333333324,-1238.699999999999,-1238.699999999999,-412.8999999999997,-41.50767593859249,-29.434555286743706
400013,400013,2026-07-01,87.7,8722.82,56.66803526834554,2.700000000000003,3.700000000000003,1.2333333333333345,169.71999999999937,-1068.9799999999996,-356.32666666666654,-41.50767593859249,-31.031964731654465
400018,400018,2026-01-01,63.0,454.68,52.90606346214264,,,,,,,0.0,-10.09393653785736
400018,400018,2026-02-01,63.0,455.31,52.97936956749398,0.0,,,0.6299999999999955,,,0.0,-10.020630432506016
400018,400018,2026-03-01,63.22,455.31,52.97936956749398,0.2199999999999988,,,0.0,,,0.0,-10.240630432506016
400018,400018,2026-04-01,63.22,455.25,52.972388033650994,0.0,0.2199999999999988,0.0733333333333329,-0.0600000000000022,0.5699999999999932,0.1899999999999977,0.0,-10.247611966349004
400018,400018,2026-05-01,63.22,455.25,52.972388033650994,0.0,0.2199999999999988,0.0733333333333329,0.0,-0.0600000000000022,-0.0200000000000007,0.0,-10.247611966349004
400018,400018,2026-06-01,63.3,455.95,53.05383926181916,0.0799999999999983,0.0799999999999983,0.0266666666666661,0.6999999999999886,0.6399999999999864,0.2133333333333288,0.0,-10.24616073818084
400018,400018,2026-07-01,63.3,455.95,53.05383926181916,0.0,0.0799999999999983,0.0266666666666661,0.0,0.6999999999999886,0.2333333333333295,0.0,-10.24616073818084
400019,400019,2026-01-01,25.0,440.73,,,,,,,,,
400019,400019,2026-02-01,25.0,476.12,,0.0,,,35.389999999999986,,,,
400019,400019,2026-03-01,25.0,480.92,,0.0,,,4.800000000000011,,,,
400019,400019,2026-04-01,25.0,519.29,,0.0,0.0,0.0,38.36999999999995,78.55999999999995,26.18666666666665,,
400019,400019,2026-05-01,25.0,542.26,,0.0,0.0,0.0,22.970000000000027,66.13999999999999,22.046666666666663,,
400019,400019,2026-06-01,38.0,560.32,,13.0,13.0,4.333333333333333,18.06000000000006,79.40000000000003,26.46666666666668,,
400022,400022,2026-01-01,20.0,2181.96,68.22547965079922,,,,,,,14.30164403145103,48.225479650799215
400022,400022,2026-02-01,30.0,2311.66,72.28093653850965,10.0,,,129.69999999999982,,,14.30164403145103,42.28093653850965
400022,400022,2026-03-01,30.0,2321.81,72.5983065262526,0.0,,,10.150000000000093,,,14.30164403145103,42.5983065262526
400022,400022,2026-04-01,37.0,2439.32,76.2726067488806,7.0,17.0,5.666666666666667,117.51000000000022,257.3600000000001,85.7866666666667,14.30164403145103,39.272606748880605
400022,400022,2026-05-01,37.0,2569.32,80.33744403031744,0.0,7.0,2.333333333333333,130.0,257.6600000000003,85.88666666666677,14.30164403145103,43.33744403031744
400022,400022,2026-06-01,45.0,2616.51,81.81297996347901,8.0,15.0,5.0,47.190000000000055,294.7000000000003,98.23333333333342,14.30164403145103,36.81297996347901
400022,400022,2026-07-01,48.0,1953.58,61.08449858668734,3.0,11.0,3.6666666666666665,-662.9300000000003,-485.7400000000002,-161.9133333333334,14.30164403145103,13.08449858668734
400023,400023,2026-01-01,0.0,0.94,0.1255006675567423,,,,,,,0.0,0.1255006675567423
400023,400023,2026-02-01,0.0,0.94,0.1255006675567423,0.0,,,0.0,,,0.0,0.1255006675567423
400023,400023,2026-03-01,0.3,0.94,0.1255006675567423,0.3,,,0.0,,,0.0,-0.1744993324432577
400023,400023,2026-04-01,0.3,0.94,0.1255006675567423,0.0,0.3,0.0999999999999999,0.0,0.0,0.0,0.0,-0.1744993324432577
400023,400023,2026-05-01,0.0,0.94,0.1255006675567423,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1255006675567423
400023,400023,2026-06-01,0.5,3.43,0.4579439252336449,0.5,0.2,0.0666666666666666,2.49,2.49,0.8300000000000001,0.0,-0.042056074766355
400023,400023,2026-07-01,0.5,3.43,0.4579439252336449,0.0,0.2,0.0666666666666666,0.0,2.49,0.8300000000000001,0.0,-0.042056074766355
400033,400033,2026-01-01,33.0,86.77,14.944627202425034,,,,,,,0.0,-18.055372797574968
400033,400033,2026-02-01,33.0,105.46,18.16365546580321,0.0,,,18.69,,,0.0,-14.836344534196794
400033,400033,2026-03-01,33.15,111.65,19.229775580854614,0.1499999999999985,,,6.190000000000012,,,0.0,-13.92022441914538
400033,400033,2026-04-01,33.91,112.17,19.31933655982501,0.759999999999998,0.9099999999999966,0.3033333333333322,0.519999999999996,25.40000000000001,8.466666666666669,0.0,-14.590663440174986
400033,400033,2026-05-01,33.91,112.17,19.31933655982501,0.0,0.9099999999999966,0.3033333333333322,0.0,6.710000000000008,2.236666666666669,0.0,-14.590663440174986
400033,400033,2026-06-01,33.91,112.17,19.31933655982501,0.0,0.759999999999998,0.2533333333333327,0.0,0.519999999999996,0.173333333333332,0.0,-14.590663440174986
400033,400033,2026-07-01,34.25,112.17,19.31933655982501,0.3400000000000034,0.3400000000000034,0.1133333333333344,0.0,0.0,0.0,0.0,-14.930663440174987
400035,400035,2026-01-01,94.0,500.52,,,,,,,,,
400035,400035,2026-02-01,96.0,509.07,,2.0,,,8.550000000000011,,,,
400035,400035,2026-03-01,96.6,537.17,,0.5999999999999943,,,28.09999999999997,,,,
400035,400035,2026-04-01,97.0,537.17,,0.4000000000000057,3.0,1.0,0.0,36.64999999999998,12.21666666666666,,
400035,400035,2026-05-01,97.7,541.81,,0.7000000000000028,1.7000000000000028,0.5666666666666677,4.639999999999986,32.73999999999995,10.913333333333318,,
400043,400043,2026-01-01,71.0,331.77,40.02050663449939,,,,,,,0.0,-30.97949336550061
400043,400043,2026-02-01,74.0,335.37,40.45476477683957,3.0,,,3.6000000000000227,,,0.0,-33.54523522316043
400043,400043,2026-03-01,75.3,350.21,42.24487334137515,1.2999999999999972,,,14.839999999999977,,,0.0,-33.05512665862485
400043,400043,2026-04-01,76.2,350.21,42.24487334137515,0.9000000000000057,5.200000000000003,1.7333333333333345,0.0,18.44,6.146666666666666,0.0,-33.955126658624856
400043,400043,2026-05-01,78.0,378.18,45.618817852834745,1.7999999999999972,4.0,1.3333333333333333,27.970000000000027,42.81,14.27,0.0,-32.381182147165255
400043,400043,2026-06-01,79.6,382.96,46.19541616405307,1.5999999999999943,4.299999999999997,1.4333333333333325,4.779999999999973,32.75,10.916666666666666,0.0,-33.40458383594692
400043,400043,2026-07-01,81.0,382.47,46.13630880579011,1.4000000000000057,4.799999999999997,1.599999999999999,-0.4899999999999522,32.26000000000005,10.75333333333335,0.0,-34.86369119420989
400045,400045,2026-01-01,82.0,69.85,41.49833650190114,,,,,,,0.0,-40.50166349809886
400045,400045,2026-02-01,82.0,69.85,41.49833650190114,0.0,,,0.0,,,0.0,-40.50166349809886
400045,400045,2026-03-01,82.0,69.85,41.49833650190114,0.0,,,0.0,,,0.0,-40.50166349809886
400045,400045,2026-04-01,82.0,69.85,41.49833650190114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.50166349809886
400045,400045,2026-05-01,82.0,69.85,41.49833650190114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.50166349809886
400045,400045,2026-06-01,82.0,69.85,41.49833650190114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.50166349809886
400045,400045,2026-07-01,82.0,69.85,41.49833650190114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.50166349809886
400047,400047,2026-01-01,50.0,37.17,17.700000000000003,,,,,,,0.0,-32.3
400047,400047,2026-02-01,50.0,37.26,17.74285714285714,0.0,,,0.0899999999999963,,,0.0,-32.25714285714286
400047,400047,2026-03-01,50.0,38.26,18.21904761904762,0.0,,,1.0,,,0.0,-31.78095238095238
400047,400047,2026-04-01,52.0,39.31,18.719047619047625,2.0,2.0,0.6666666666666666,1.0500000000000045,2.140000000000001,0.7133333333333335,0.0,-33.28095238095238
400047,400047,2026-05-01,52.0,40.56,19.314285714285717,0.0,2.0,0.6666666666666666,1.25,3.3000000000000043,1.1000000000000014,0.0,-32.68571428571428
400047,400047,2026-06-01,53.0,41.17,19.604761904761904,1.0,3.0,1.0,0.6099999999999994,2.910000000000004,0.9700000000000012,0.0,-33.3952380952381
400047,400047,2026-07-01,53.0,41.17,19.604761904761904,0.0,1.0,0.3333333333333333,0.0,1.8599999999999997,0.6199999999999998,0.0,-33.3952380952381
400048,400048,2026-01-01,86.0,93.02,49.95435261264164,,,,,,,0.0,-36.04564738735836
400048,400048,2026-02-01,87.0,95.57,51.323774233392406,1.0,,,2.549999999999997,,,0.0,-35.676225766607594
400048,400048,2026-03-01,88.0,96.77,51.96820793727511,1.0,,,1.2000000000000028,,,0.0,-36.03179206272489
400048,400048,2026-04-01,88.0,100.97,54.223725900864615,0.0,2.0,0.6666666666666666,4.200000000000003,7.950000000000003,2.650000000000001,0.0,-33.776274099135385
400048,400048,2026-05-01,88.0,103.1,55.36759572525642,0.0,1.0,0.3333333333333333,2.1299999999999955,7.530000000000001,2.51,0.0,-32.63240427474358
400048,400048,2026-06-01,88.0,105.07,56.42554105579721,0.0,0.0,0.0,1.9699999999999989,8.299999999999997,2.7666666666666657,0.0,-31.57445894420279
400048,400048,2026-07-01,88.0,105.07,56.42554105579721,0.0,0.0,0.0,0.0,4.099999999999994,1.3666666666666647,0.0,-31.57445894420279
400062,400062,2026-01-01,6.0,1508.59,8.536128557686865,,,,,,,0.0,2.5361285576868653
400062,400062,2026-02-01,8.0,1594.35,9.021388558818536,2.0,,,85.75999999999999,,,0.0,1.0213885588185363
400062,400062,2026-03-01,8.7,1791.7,10.138063713008544,0.6999999999999993,,,197.3500000000001,,,0.0,1.4380637130085443
400062,400062,2026-04-01,9.4,1950.25,11.03519493011939,0.7000000000000011,3.4000000000000004,1.1333333333333335,158.54999999999995,441.6600000000001,147.22000000000003,0.0,1.6351949301193898
400062,400062,2026-05-01,10.0,2043.87,11.564929553556272,0.5999999999999996,2.0,0.6666666666666666,93.61999999999988,449.52,149.84,0.0,1.5649295535562722
400062,400062,2026-06-01,11.5,2120.39,11.997906410909296,1.5,2.8000000000000007,0.9333333333333336,76.51999999999998,328.6899999999998,109.56333333333328,0.0,0.4979064109092945
400062,400062,2026-07-01,13.0,2268.62,12.8366434674362,1.5,3.6,1.2,148.23000000000002,318.3699999999999,106.12333333333328,0.0,-0.1633565325637995
400073,400073,2026-01-01,46.0,429.61,63.678944637960434,,,,,,,0.0,17.678944637960434
400073,400073,2026-02-01,46.0,429.94,63.72785888979471,0.0,,,0.3299999999999841,,,0.0,17.72785888979471
400073,400073,2026-03-01,46.25,429.61,63.678944637960434,0.25,,,-0.3299999999999841,,,0.0,17.428944637960434
400073,400073,2026-04-01,53.47,433.64,64.27629141036093,7.219999999999999,7.469999999999999,2.49,4.029999999999973,4.029999999999973,1.3433333333333242,0.0,10.806291410360927
400073,400073,2026-05-01,46.25,433.64,64.27629141036093,-7.219999999999999,0.25,0.0833333333333333,0.0,3.6999999999999886,1.2333333333333296,0.0,18.02629141036093
400073,400073,2026-06-01,50.78,172.3,25.53916845771882,4.530000000000001,4.530000000000001,1.5100000000000005,-261.34,-257.31,-85.77,0.0,-25.24083154228118
400073,400073,2026-07-01,50.78,175.59,26.02682872600608,0.0,-2.6899999999999977,-0.896666666666666,3.289999999999992,-258.04999999999995,-86.01666666666665,0.0,-24.75317127399392
400074,400074,2026-01-01,22.0,278.34,32.77248590031908,,,,,,,0.0,10.772485900319085
400074,400074,2026-02-01,22.0,278.34,32.77248590031908,0.0,,,0.0,,,0.0,10.772485900319085
400074,400074,2026-03-01,22.38,283.86,33.42242526286044,0.379999999999999,,,5.520000000000039,,,0.0,11.042425262860444
400074,400074,2026-04-01,23.57,289.45,34.080606610071705,1.1900000000000013,1.5700000000000005,0.5233333333333334,5.589999999999975,11.110000000000014,3.703333333333338,0.0,10.510606610071704
400074,400074,2026-05-01,22.38,289.45,34.080606610071705,-1.1900000000000013,0.379999999999999,0.1266666666666663,0.0,11.110000000000014,3.703333333333338,0.0,11.700606610071706
400074,400074,2026-06-01,23.28,208.28,24.52343667212208,0.9000000000000021,0.9000000000000021,0.3000000000000007,-81.16999999999999,-75.58000000000001,-25.19333333333334,0.0,1.2434366721220762
400074,400074,2026-07-01,23.28,237.61,27.976828248813742,0.0,-0.2899999999999991,-0.0966666666666663,29.330000000000013,-51.839999999999975,-17.27999999999999,0.0,4.696828248813745
400077,400077,2026-01-01,90.0,641.34,,,,,,,,,
400077,400077,2026-02-01,93.0,647.01,,3.0,,,5.669999999999959,,,,
400078,400078,2026-01-01,89.0,7290.7,,,,,,,,,
400078,400078,2026-02-01,90.0,7343.81,,1.0,,,53.11000000000058,,,,
400078,400078,2026-03-01,90.8,7132.48,,0.7999999999999972,,,-211.33000000000084,,,,
400078,400078,2026-04-01,91.4,7160.82,,0.6000000000000085,2.4000000000000057,0.8000000000000019,28.340000000000146,-129.8800000000001,-43.29333333333337,,
400078,400078,2026-05-01,92.7,7456.3,,1.2999999999999972,2.700000000000003,0.9000000000000009,295.4800000000005,112.48999999999978,37.49666666666659,,
400078,400078,2026-06-01,94.1,7482.71,,1.3999999999999917,3.299999999999997,1.099999999999999,26.40999999999985,350.2300000000005,116.7433333333335,,
400081,400081,2026-01-01,96.0,7786.65,1272.8691927943244,,,,,,,-32.51403797147175,1176.8691927943244
400081,400081,2026-02-01,96.0,7931.02,1296.469088174715,0.0,,,144.3700000000008,,,-32.51403797147175,1200.469088174715
400081,400081,2026-03-01,96.5,8209.56,1342.0015039068885,0.5,,,278.53999999999905,,,-32.51403797147175,1245.5015039068885
400081,400081,2026-04-01,97.0,8310.52,1358.505247327296,0.5,1.0,0.3333333333333333,100.96000000000096,523.8700000000008,174.6233333333336,-32.51403797147175,1261.505247327296
400081,400081,2026-05-01,97.05,8352.55,1365.3758132539967,0.0499999999999971,1.0499999999999972,0.349999999999999,42.02999999999884,421.5299999999989,140.50999999999962,-32.51403797147175,1268.3258132539968
400081,400081,2026-06-01,97.25,8423.25,1376.9330107562037,0.2000000000000028,0.75,0.25,70.70000000000073,213.6900000000005,71.23000000000017,-32.51403797147175,1279.6830107562037
400081,400081,2026-07-01,97.5,8632.49,1411.1370843822538,0.25,0.5,0.1666666666666666,209.23999999999975,321.96999999999935,107.32333333333312,-32.51403797147175,1313.6370843822538
400087,400087,2026-01-01,85.0,934.83,69.36947633217326,,,,,,,52.163996251256165,-15.630523667826736
400087,400087,2026-02-01,85.0,944.04,70.05290848242444,0.0,,,9.209999999999924,,,52.163996251256165,-14.947091517575558
400087,400087,2026-03-01,86.7,944.4,70.07962244269484,1.7000000000000028,,,0.3600000000000136,,,52.163996251256165,-16.62037755730516
400087,400087,2026-04-01,87.5,990.06,73.4678430703245,0.7999999999999972,2.5,0.8333333333333334,45.65999999999997,55.22999999999991,18.409999999999968,52.163996251256165,-14.032156929675494
400087,400087,2026-05-01,89.2,1022.45,75.87135744020898,1.7000000000000028,4.200000000000003,1.400000000000001,32.3900000000001,78.41000000000008,26.13666666666669,52.163996251256165,-13.32864255979102
400087,400087,2026-06-01,94.3,1037.37,76.97850268252684,5.099999999999994,7.599999999999994,2.5333333333333314,14.919999999999844,92.96999999999991,30.98999999999997,52.163996251256165,-17.32149731747316
400087,400087,2026-07-01,95.6,1062.32,78.82992854015627,1.2999999999999972,8.099999999999994,2.699999999999998,24.950000000000045,72.25999999999999,24.086666666666662,52.163996251256165,-16.77007145984372
400093,400093,2026-01-01,1.0,22.24,,,,,,,,,
400093,400093,2026-02-01,1.0,22.24,,0.0,,,0.0,,,,
400093,400093,2026-03-01,1.76,22.24,,0.76,,,0.0,,,,
400093,400093,2026-04-01,1.76,22.24,,0.0,0.76,0.2533333333333333,0.0,0.0,0.0,,
400095,400095,2026-01-01,52.0,410.42,,,,,,,,,
400095,400095,2026-02-01,52.0,414.98,,0.0,,,4.560000000000002,,,,
400095,400095,2026-03-01,53.93,458.42,,1.93,,,43.44,,,,
400095,400095,2026-04-01,53.93,459.06,,0.0,1.93,0.6433333333333332,0.6399999999999864,48.63999999999999,16.213333333333328,,
400096,400096,2026-01-01,49.0,206.06,,,,,,,,,
400096,400096,2026-02-01,49.0,208.06,,0.0,,,2.0,,,,
400096,400096,2026-03-01,49.78,208.06,,0.7800000000000011,,,0.0,,,,
400096,400096,2026-04-01,49.78,208.06,,0.0,0.7800000000000011,0.2600000000000004,0.0,2.0,0.6666666666666666,,
400097,400097,2026-01-01,90.0,4956.98,,,,,,,,,
400097,400097,2026-02-01,90.0,4956.98,,0.0,,,0.0,,,,
400097,400097,2026-03-01,90.3,4956.98,,0.2999999999999971,,,0.0,,,,
