canonical_project_id,project_id,base_risk_score,anomaly_score,trajectory_risk_score,data_confidence_score,final_risk_score,risk_category,future_deterioration_probability,predicted_future_deterioration,risk_explanation,predictive_risk_band
618501,618501,100.0,-0.13112289291342843,60.0,56.4,83.16,CRITICAL,0.2219,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618502,618502,80.28,-0.11596463950676172,30.0,56.4,63.89,HIGH,0.3678,0,Limited Adverse Evidence,WATCH
618503,618503,43.12,-0.09780822874153011,60.0,90.0,41.25,MEDIUM,0.054,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618504,618504,44.04,-0.11207846177236952,60.0,90.0,41.92,MEDIUM,0.0725,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618505,618505,23.32,-0.10641625806621219,30.0,90.0,21.92,LOW,0.2169,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618506,618506,0.0,-0.05190469795595176,10.0,85.7,1.58,LOW,0.1086,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618507,618507,21.85,-0.0493695175842771,10.0,85.7,17.68,LOW,0.1132,0,High Expenditure Progress Gap,LOW_PREDICTIVE_SIGNAL
618508,618508,19.23,-0.12528517774079856,30.0,85.7,18.91,LOW,0.2688,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618509,618509,39.14,-0.11535733267783793,60.0,90.0,38.31,MEDIUM,0.153,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618511,618511,0.0,-0.050449069220707965,10.0,85.7,1.58,LOW,0.2002,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618512,618512,22.12,-0.1165836374427262,30.0,90.0,21.04,LOW,0.265,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618513,618513,26.84,-0.0971156769987408,30.0,90.0,24.51,LOW,0.8654,1,Limited Adverse Evidence,HIGH_PREDICTIVE_SIGNAL
618514,618514,0.0,-0.01927477728048471,10.0,90.0,1.58,LOW,0.1348,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618515,618515,60.55,-0.12869911397200384,30.0,56.4,49.35,MEDIUM,0.1532,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618516,618516,41.98,-0.05629520188975773,30.0,90.0,35.67,MEDIUM,0.2372,0,High Expenditure Progress Gap,LOW_PREDICTIVE_SIGNAL
618517,618517,43.83,-0.07681323079863867,60.0,90.0,41.77,MEDIUM,0.1028,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618518,618518,50.95,-0.07976786834096422,60.0,85.7,47.02,MEDIUM,0.4243,0,Progress Stagnation,WATCH
618519,618519,0.0,-0.06037459612614754,10.0,90.0,1.58,LOW,0.0331,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618520,618520,50.97,-0.10070170706235537,60.0,85.7,47.03,MEDIUM,0.439,0,Progress Stagnation,WATCH
618521,618521,35.71,-0.12456089219568728,60.0,90.0,35.79,MEDIUM,0.284,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618522,618522,0.0,-0.11057584981228746,10.0,85.7,1.58,LOW,0.4091,0,Limited Adverse Evidence,WATCH
618523,618523,76.83,-0.0725115836873238,60.0,90.0,66.09,HIGH,0.1969,0,High Cost Escalation; Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618524,618524,3.31,-0.08920286279998996,30.0,85.7,7.18,LOW,0.5559,1,Limited Adverse Evidence,ELEVATED
618525,618525,0.0,-0.04765570827286525,10.0,90.0,1.58,LOW,0.2116,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618526,618526,35.71,-0.10676936377337853,60.0,85.7,35.79,MEDIUM,0.1719,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618527,618527,62.13,-0.12481049656902032,30.0,56.4,50.52,MEDIUM,0.2505,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618529,618529,21.13,-0.07040084518015749,30.0,90.0,20.31,LOW,0.1057,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618530,618530,5.14,-0.012263802727564665,30.0,90.0,8.52,LOW,0.0179,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618531,618531,0.0,-0.042602711481765976,10.0,90.0,1.58,LOW,0.2212,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618532,618532,62.13,-0.13022289602382175,30.0,56.4,50.52,MEDIUM,0.1858,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618533,618533,41.46,0.0016507133372653526,60.0,90.0,50.55,MEDIUM,0.126,0,Progress Stagnation; Anomalous Project Pattern,LOW_PREDICTIVE_SIGNAL
